
default_dir_path: ../../ply_data/translation_only/

corresp_img_file_name: 

corresp_ply_file_name: 
s10-t101.dat
s10.dat

img_file_path: 

ply_file_path: 
transform_rotate_simulation::
Point: corresp_plypoint
 -5 -10  -8
 -5 -10  -6
 -5 -10  -4
 -5 -10  -2
 -5 -10   0
 -5 -10   2
 -5 -10   4
 -5 -10   6
 -5 -10   8
 -5 -10  10
 -5 -10  12
-5 -8 -8
-5 -8 -6
-5 -8 -4
-5 -8 -2
-5 -8  0
-5 -8  2
-5 -8  4
-5 -8  6
-5 -8  8
-5 -8 10
-5 -8 12
-5 -6 -8
-5 -6 -6
-5 -6 -4
-5 -6 -2
-5 -6  0
-5 -6  2
-5 -6  4
-5 -6  6
-5 -6  8
-5 -6 10
-5 -6 12
-5 -4 -8
-5 -4 -6
-5 -4 -4
-5 -4 -2
-5 -4  0
-5 -4  2
-5 -4  4
-5 -4  6
-5 -4  8
-5 -4 10
-5 -4 12
-5 -2 -8
-5 -2 -6
-5 -2 -4
-5 -2 -2
-5 -2  0
-5 -2  2
-5 -2  4
-5 -2  6
-5 -2  8
-5 -2 10
-5 -2 12
-5  0 -8
-5  0 -6
-5  0 -4
-5  0 -2
-5  0  0
-5  0  2
-5  0  4
-5  0  6
-5  0  8
-5  0 10
-5  0 12
-5  2 -8
-5  2 -6
-5  2 -4
-5  2 -2
-5  2  0
-5  2  2
-5  2  4
-5  2  6
-5  2  8
-5  2 10
-5  2 12
-5  4 -8
-5  4 -6
-5  4 -4
-5  4 -2
-5  4  0
-5  4  2
-5  4  4
-5  4  6
-5  4  8
-5  4 10
-5  4 12
-5  6 -8
-5  6 -6
-5  6 -4
-5  6 -2
-5  6  0
-5  6  2
-5  6  4
-5  6  6
-5  6  8
-5  6 10
-5  6 12
-5  8 -8
-5  8 -6
-5  8 -4
-5  8 -2
-5  8  0
-5  8  2
-5  8  4
-5  8  6
-5  8  8
-5  8 10
-5  8 12
-5 10 -8
-5 10 -6
-5 10 -4
-5 10 -2
-5 10  0
-5 10  2
-5 10  4
-5 10  6
-5 10  8
-5 10 10
-5 10 12
 -3 -10  -8
 -3 -10  -6
 -3 -10  -4
 -3 -10  -2
 -3 -10   0
 -3 -10   2
 -3 -10   4
 -3 -10   6
 -3 -10   8
 -3 -10  10
